Price,MSFT
Ticker,MSFT
Date,
2008-06-12 00:00:00+00:00,28.239999771118164
2008-06-13 00:00:00+00:00,29.06999969482422
2008-06-16 00:00:00+00:00,28.93000030517578
2008-06-17 00:00:00+00:00,28.799999237060547
2008-06-18 00:00:00+00:00,28.459999084472656
2008-06-19 00:00:00+00:00,28.93000030517578
2008-06-20 00:00:00+00:00,28.229999542236328
2008-06-23 00:00:00+00:00,27.969999313354492
2008-06-24 00:00:00+00:00,27.729999542236328
2008-06-25 00:00:00+00:00,28.350000381469727
2008-06-26 00:00:00+00:00,27.75
2008-06-27 00:00:00+00:00,27.6299991607666
2008-06-30 00:00:00+00:00,27.510000228881836
2008-07-01 00:00:00+00:00,26.8700008392334
2008-07-02 00:00:00+00:00,25.8799991607666
2008-07-03 00:00:00+00:00,25.979999542236328
2008-07-07 00:00:00+00:00,26.030000686645508
2008-07-08 00:00:00+00:00,25.850000381469727
2008-07-09 00:00:00+00:00,25.229999542236328
2008-07-10 00:00:00+00:00,25.450000762939453
2008-07-11 00:00:00+00:00,25.25
2008-07-14 00:00:00+00:00,25.149999618530273
2008-07-15 00:00:00+00:00,26.149999618530273
2008-07-16 00:00:00+00:00,27.260000228881836
2008-07-17 00:00:00+00:00,27.520000457763672
2008-07-18 00:00:00+00:00,25.860000610351562
2008-07-21 00:00:00+00:00,25.639999389648438
2008-07-22 00:00:00+00:00,25.799999237060547
2008-07-23 00:00:00+00:00,26.43000030517578
2008-07-24 00:00:00+00:00,25.440000534057617
2008-07-25 00:00:00+00:00,26.15999984741211
2008-07-28 00:00:00+00:00,25.5
2008-07-29 00:00:00+00:00,26.110000610351562
2008-07-30 00:00:00+00:00,26.229999542236328
2008-07-31 00:00:00+00:00,25.719999313354492
2008-08-01 00:00:00+00:00,25.440000534057617
2008-08-04 00:00:00+00:00,25.280000686645508
2008-08-05 00:00:00+00:00,26.209999084472656
2008-08-06 00:00:00+00:00,27.020000457763672
2008-08-07 00:00:00+00:00,27.389999389648438
2008-08-08 00:00:00+00:00,28.1299991607666
2008-08-11 00:00:00+00:00,27.899999618530273
2008-08-12 00:00:00+00:00,28.1200008392334
2008-08-13 00:00:00+00:00,27.90999984741211
2008-08-14 00:00:00+00:00,27.90999984741211
2008-08-15 00:00:00+00:00,27.809999465942383
2008-08-18 00:00:00+00:00,27.690000534057617
2008-08-19 00:00:00+00:00,27.31999969482422
2008-08-20 00:00:00+00:00,27.290000915527344
2008-08-21 00:00:00+00:00,27.18000030517578
2008-08-22 00:00:00+00:00,27.84000015258789
2008-08-25 00:00:00+00:00,27.65999984741211
2008-08-26 00:00:00+00:00,27.270000457763672
2008-08-27 00:00:00+00:00,27.559999465942383
2008-08-28 00:00:00+00:00,27.940000534057617
2008-08-29 00:00:00+00:00,27.290000915527344
2008-09-02 00:00:00+00:00,27.100000381469727
2008-09-03 00:00:00+00:00,26.899999618530273
2008-09-04 00:00:00+00:00,26.350000381469727
2008-09-05 00:00:00+00:00,25.649999618530273
2008-09-08 00:00:00+00:00,26.1200008392334
2008-09-09 00:00:00+00:00,26.100000381469727
2008-09-10 00:00:00+00:00,26.440000534057617
2008-09-11 00:00:00+00:00,27.34000015258789
2008-09-12 00:00:00+00:00,27.6200008392334
2008-09-15 00:00:00+00:00,26.81999969482422
2008-09-16 00:00:00+00:00,25.989999771118164
2008-09-17 00:00:00+00:00,24.56999969482422
2008-09-18 00:00:00+00:00,25.260000228881836
2008-09-19 00:00:00+00:00,25.15999984741211
2008-09-22 00:00:00+00:00,25.399999618530273
2008-09-23 00:00:00+00:00,25.440000534057617
2008-09-24 00:00:00+00:00,25.719999313354492
2008-09-25 00:00:00+00:00,26.610000610351562
2008-09-26 00:00:00+00:00,27.399999618530273
2008-09-29 00:00:00+00:00,25.010000228881836
2008-09-30 00:00:00+00:00,26.690000534057617
2008-10-01 00:00:00+00:00,26.479999542236328
2008-10-02 00:00:00+00:00,26.25
2008-10-03 00:00:00+00:00,26.31999969482422
2008-10-06 00:00:00+00:00,24.90999984741211
2008-10-07 00:00:00+00:00,23.229999542236328
2008-10-08 00:00:00+00:00,23.010000228881836
2008-10-09 00:00:00+00:00,22.299999237060547
2008-10-10 00:00:00+00:00,21.5
2008-10-13 00:00:00+00:00,25.5
2008-10-14 00:00:00+00:00,24.100000381469727
2008-10-15 00:00:00+00:00,22.65999984741211
2008-10-16 00:00:00+00:00,24.190000534057617
2008-10-17 00:00:00+00:00,23.93000030517578
2008-10-20 00:00:00+00:00,24.719999313354492
2008-10-21 00:00:00+00:00,23.360000610351562
2008-10-22 00:00:00+00:00,21.530000686645508
2008-10-23 00:00:00+00:00,22.31999969482422
2008-10-24 00:00:00+00:00,21.959999084472656
2008-10-27 00:00:00+00:00,21.18000030517578
2008-10-28 00:00:00+00:00,23.100000381469727
